date,MINTEMP,MAXTEMP,HUMIDITY,OT,fact
2012-07-20 11:00:00,29,34.0,50,85,"It's cloudy and hot to extremely hot, with local thunderstorms in the afternoon; the temperature is 29-34°C, and it can reach over 35°C in the central-northern and densely populated areas; there is a northerly wind of grade 2; the relative humidity is 50%-85%."
2012-07-20 16:00:00,27,34.0,55,90,"It's cloudy, with mild to light moderate haze. The weather is extremely hot and there may be short-term thunderstorms in some areas. The temperature ranges from 27 to 34°C, and can reach above 35°C in central-northern regions and densely populated areas. There is a northerly wind of magnitude 2. The relative humidity is between 55% and 90%."
2012-07-21 06:00:00,28,34.0,55,90,"It is cloudy, with mild to light moderate haze, extremely hot weather, and locally there are short-term thunderstorms; temperature is 28-34°C, and it can reach above 35°C in the central and northern regions and densely populated areas; northerly wind of grade 2; relative humidity is 55%-90%."
2012-07-21 11:00:00,30,35.0,55,90,"Partly cloudy and sunny intervals, with mild haze, extremely hot weather, and local short-term thunderstorms in the afternoon; temperature 30-36°C; northerly wind of grade 2; relative humidity 55%-90%."
2012-07-21 16:00:00,28,35.0,45,90,"It's extremely hot with heat, and it will turn to thunder showers around noon; temperature ranges from 28 to 35°C; northerly wind of grade 2, and the wind force will gradually increase to 3-4 grades from the evening with gusts of 5-6 grades; relative humidity is 45% to 90%."
2012-07-22 06:00:00,29,35.0,60,90,"High temperature turning to thunderstorms; temperature 29-35°C; northeasterly wind level 3, gust level 4; relative humidity 60%-90%."
2012-07-22 11:00:00,28,33.0,60,90,"Cloudy with showers or thunderstorms; temperature 28-33°C; northeasterly wind of level 3, gusts of level 4; relative humidity 60%-90%."
2012-07-22 16:00:00,26,30.0,75,95,"Heavy rain, with local torrential rain; temperature 26-30°C; east to southeast wind level 3-4, gust 6 levels, coastal 6 levels, gust 8 levels; relative humidity 75%-95%."
2012-07-23 06:00:00,26,30.0,80,95,"Thunderstorm showers turning to heavy rain; temperature 26-30°C; northeast wind turning to east wind, 4-5 levels, gusts 6-7 levels; relative humidity 80%-95%."
2012-07-23 11:00:00,24,28.0,85,95,"Heavy rain, with some areas having torrential rain; temperature 24-28°C; northeasterly turning to easterly wind of magnitude 4, with gusts of 6-7; relative humidity 85%-95%."
2012-07-23 16:00:00,24,27.0,85,98,"Heavy rain to heavy downpour; temperature 24-27°C; east turning to southeast wind, the maximum average land wind force is 7-8 levels, with gusts of 10 levels, the maximum average coastal wind force is 8-9 levels, with gusts of 12 levels; relative humidity 85%-98%."
2012-07-24 06:00:00,24,27.0,80,95,"Heavy rain, local heavy downpours; temperature 24-27°C; southeast wind of 7-8 levels, with gusts of 10 levels, 8-9 along the coast with gusts of 11 levels, and the wind force significantly weakened in the afternoon; relative humidity 80%-95%."
2012-07-24 11:00:00,26,28.0,80,95,"Overcast to cloudy with occasional showers; temperature 26-28°C; southeasterly wind 3-4 levels, gusts of 5 levels, 4-5 levels along the coast, gusts of 6 levels; relative humidity 80%-95%."
2012-07-24 16:00:00,25,29.0,80,95,"Overcast with intervals of cloudy, heavy rain with local torrential rain; temperature 25-29°C; southeast wind level 3-4; relative humidity 80%-95%."
2012-07-25 06:00:00,25,29.0,75,95,"Overcast with intervals of cloudy, heavy rain, and local torrential rain; temperature range 25-29°C; southeasterly wind of 3-4 levels; relative humidity 75%-95%."
2012-07-25 11:00:00,24,28.0,75,95,"Overcast, with heavy rainstorms; temperature 24-28°C; southeastern wind of 2-3 levels, gusts of 5 levels; relative humidity 75%-95%."
2012-07-25 16:00:00,24,28.0,75,95,"Overcast, with heavy rainstorm; temperature 24-28°C; southeasterly wind of 2-3 levels, gust 5 levels; relative humidity 75%-95%."
2012-07-26 06:00:00,24,28.0,80,100,"In the morning, the whole city is mainly scattered showers. Near noon, the rain intensifies and there is a heavy rainstorm; the temperature is 24-28°C; the southeast wind is level 2-3, with gusts up to 4 levels; the relative humidity is 80%-100%."
2012-07-26 11:00:00,24,28.0,85,100,"Heavy rain, local torrential rain; temperature 24-28°C; southeasterly 2-3 levels, gust 4 levels; relative humidity 85%-100%."
2012-07-26 16:00:00,24,29.0,85,100,"Overcast, with moderate to heavy rain and local torrential rain; temperature 24-29°C; southeastern wind 2-3 levels, gusts 4 levels; relative humidity 85%-100%."
2012-07-27 06:00:00,24,29.0,85,99,"Overcast, there is heavy rain with local torrential rain from morning to morning, and the rain weakens in the afternoon; temperature 24-29°C; southeasterly wind 2-3 levels, gust 4 levels; relative humidity 85%-100%."
2012-07-27 11:00:00,25,29.0,85,99,"Overcast, with moderate to heavy rain and local torrential rain; temperature 25-29°C; southeasterly wind level 2-3, gust level 4; relative humidity 85%-99%."
2012-07-27 16:00:00,25,29.0,85,99,"Cloudy with intervals of overcast, with showers and local areas with heavier rain; temperature 25-29°C; southeastern wind of 2-3 levels; relative humidity 85%-95%."
2012-07-28 06:00:00,25,30.0,85,95,Cloudy with short-term showers; temperature 25-30°C; southeast wind of 2-3 levels; relative humidity 85%-95%.
2012-07-28 11:00:00,27,30.0,60,85,"It's cloudy with short-term showers or thunderstorms occuring at times; temperature ranges from 27 to 30 degrees Celsius; southeasterly wind of grade 2, with gusts of 3 to 4 grades; relative humidity is 60% to 85%."
2012-07-28 16:00:00,26,32.0,55,90,"Cloudy, with local short-term showers or thunderstorms; temperature 26-32°C; southeasterly wind at grade 2, gusts at 3-4 grades; relative humidity 55%-90%."
2012-07-29 06:00:00,26,32.0,55,90,"Cloudy, with short-term showers in some areas; temperature 26-32°C; southeasterly wind of level 2, with gusts of level 3; relative humidity 55%-90%."
2012-07-29 11:00:00,29,32.0,55,85,"Cloudy; temperature 29-32°C; southeastern wind level 2, gust level 3; relative humidity 55%-85%."
2012-07-29 16:00:00,26,33.0,55,90,"Mainly cloudy at night, with short-term showers in the eastern region, cloudy during the day, with slight haze and local short-term showers; temperature 26-33°C, the maximum temperature in the central and northern regions and densely populated areas can reach 35°C; east wind level 2, gust level 3; relative humidity 55%-90%."
2012-07-30 06:00:00,26,33.0,55,90,"Cloudy, with local short-term showers in some areas; temperature 26-33°C, with the highest temperature up to 35°C in the central and northern areas and densely populated areas; southerly wind turning to northwesterly wind at level 2; relative humidity 55%-90%."
2012-07-30 11:00:00,29,34.0,55,80,"Cloudy, extremely hot weather; temperature 29-34°C, the highest temperature in the central and northern regions and densely populated areas is 35°C; weak wind; relative humidity 55%-80%."
2012-07-30 16:00:00,27,35.0,45,85,"Sunny intervals and cloudy, extremely hot weather; temperature range from 27 to 35°C, and up to 36°C or above in central and northern regions and densely populated areas; northerly wind of grade 2; relative humidity ranging from 45% to 85%."
2012-07-31 06:00:00,27,35.0,45,85,"It is extremely hot with short-term showers in some areas. Some areas in the central and northern parts have moderately light haze at some times; temperature is 27-35°C, and 36°C in the northern and densely populated areas; there is a northerly wind of grade 2; relative humidity is 45%-85%."
2012-07-31 11:00:00,30,35.0,45,80,"Partly cloudy, with occasional short-term showers or thunderstorms in some areas, extremely hot weather, with mild to moderate haze; temperature 30-35°C, 36°C or above in the central and northern regions and densely populated areas; weak winds; relative humidity 45%-80%."
2012-07-31 16:00:00,28,35.0,55,85,"Cloudy, extremely hot weather, locally with thunderstorms in the afternoon, with mild to moderate haze for some time; temperature 28-35°C, 36-37°C in the central and northern parts and densely populated areas; southwest wind level 2; relative humidity 55%-85%."
2012-08-01 06:00:00,26,35.0,55,85,It is extremely hot with thunderstorms in some areas and mild to moderate haze for some time; temperature is 26-35°C; westerly wind of 2 levels; relative humidity is 55%-85%.
2012-08-01 11:00:00,26,35.0,55,85,"High temperature and intense heat, with thunderstorms in some areas, with light haze at some times; temperature 26-35°C; westerly wind of level 2; relative humidity 55%-85%."
2012-08-01 16:00:00,28,36.0,50,85,"It is extremely hot with thunderstorms in some local areas in the afternoon and there is mild to moderate haze; the temperature is 28-36°C, and 37-38°C in the central-northern areas and densely populated areas; the northwest wind is 2-3 levels with gusts of 4 levels; the relative humidity is 50%-85%."
2012-08-02 06:00:00,28,36.0,50,85,"It's extremely hot and there is light to moderate haze. There will be thunderstorms in some areas in the afternoon; the temperature is 28-36°C, and it can reach 37-38°C in the central and northern areas and densely populated areas; there is a northwest wind of grade 2, with gusts of 3-4 grades; the relative humidity is 50%-85%."
2012-08-02 11:00:00,31,36.0,50,85,"Sunny to cloudy, extremely hot with mild haze, thunderstorms in local areas in the afternoon; temperature 31-36°C, up to 37-38°C in the central and northern areas and densely populated areas; northwest wind level 2; relative humidity 50%-85%."
2012-08-02 16:00:00,28,35.0,45,85,"Sunny to cloudy, extremely hot weather, with local thunderstorms in the afternoon; temperature 28-35°C, up to 36°C in central and northern areas and densely populated areas; northwest wind 2-3 levels; relative humidity 45%-85%."
2012-08-03 06:00:00,28,34.0,45,90,"Cloudy with scattered showers or thunderstorms; temperature 28-34°C; northwest wind of 2-3 levels, gust of 4 levels; relative humidity 45%-90%."
2012-08-03 11:00:00,30,34.0,50,90,"Cloudy with scattered showers or thunderstorms, with mild haze in densely populated areas; temperature 30-34°C, above 35°C in some areas; northwest wind of 2-3 levels, gust 4 levels; relative humidity 50%-90%."
2012-08-03 16:00:00,27,32.0,60,90,"Cloudy with scattered showers or thunderstorms; temperature 27-32°C; southwest wind of 2-3 levels, gusts of 4 levels; relative humidity 60%-90%."
2012-08-04 06:00:00,28,32.0,60,90,"Cloudy and partly cloudy with intervals, with showers and mild to light haze at some times; temperature 28-32°C; southwesterly wind at grade 2-3; relative humidity 60%-90%."
2012-08-04 11:00:00,28,32.0,60,90,"Overcast to cloudy with scattered showers, and slight to light moderate haze for some of the time; temperature 28-32°C; weak southwesterly wind; relative humidity 60%-90%."
2012-08-04 16:00:00,27,32.0,60,90,Overcast to cloudy with scattered showers; temperature 27-32°C; southwest wind of grade 2 to 3; relative humidity 60%-90%.
2012-08-05 06:00:00,28,32.0,60,90,"Cloudy, with showers or thunderstorms; temperature 28-32°C; southwest wind level 2, gust level 3; relative humidity 60%-90%."
2012-08-05 11:00:00,29,32.0,65,90,Overcast to cloudy with intermittent showers or thunderstorms; temperature 29-32°C; southwesterly wind of magnitude 2 with gusts of magnitude 3; relative humidity 65%-90%.
2012-08-05 16:00:00,28,33.0,65,90,"Cloudy, with short-term showers or thunderstorms at times; temperature 28-33°C; southwesterly wind of grade 2, gust of grade 3; relative humidity 65%-90%."
2012-08-06 06:00:00,27,33.0,65,95,"Cloudy with showers or thunderstorms; temperature 27-33°C; east wind level 2, gust level 3; relative humidity 65%-95%."
2012-08-06 11:00:00,27,33.0,65,95,"Cloudy, with local showers or thunderstorms; temperature 27-33°C; east wind level 2-3, gust level 4; relative humidity 65%-95%."
2012-08-06 16:00:00,27,34.0,55,90,"Cloudy, with scattered showers or thunderstorms in some areas; temperature 27-34°C, the maximum temperature in densely populated areas can reach 35 degrees; east wind level 2-3, gusts to level 4; relative humidity 55%-90%."
2012-08-07 06:00:00,27,34.0,55,95,"Sunny intervals with cloudy periods, and local areas may have showers or thunderstorms; the temperature is 27-34°C, and the maximum temperature in densely populated areas can reach 35 degrees; the southwest wind turns to the northwest wind at grade 2-3, with gusts up to 4 levels; the relative humidity is 55%-95%."
2012-08-07 11:00:00,27,34.0,55,95,"Sunny intervals with cloudy periods, afternoon local areas have showers or thunderstorms, light to moderate haze; temperature 30-35°C; westerly wind level 2; relative humidity 55%-95%."
2012-08-07 16:00:00,28,35.0,55,95,"Sunny intervals and cloudy, with mild haze for some of the time, and local showers or thunderstorms in the afternoon; temperature 28-35°C; westerly wind of grade 2; relative humidity 55%-95%."
2012-08-08 06:00:00,28,35.0,55,95,"Cloudy, extremely hot weather with mild haze for some of the time, and afternoon showers or thunderstorms in some areas; temperature 28-35°C; westerly wind of magnitude 2; relative humidity 55%-95%."
2012-08-08 11:00:00,30,35.0,55,90,"Cloudy, extremely hot to very hot weather, thunderstorms in some areas in the afternoon, with mild to moderate haze; temperature 30-35°C; northerly wind of grade 2; relative humidity 55%-90%."
2012-08-08 16:00:00,28,33.0,60,90,"Cloudy, with short-term showers or thunderstorms occasionally, and heavy rain in some areas; temperature 28-33°C, 35°C in central-northern areas and densely populated areas; north-northeast wind of grade 2; relative humidity 60%-90%."
2012-08-09 06:00:00,28,34.0,60,90,"Sunny to cloudy, very hot to extremely hot weather, with mild to light haze, local thunder showers in the afternoon; temperature 28-34°C, the maximum temperature in the central, northern and densely populated areas can reach 35°C; west to southwest wind 2-3 levels; relative humidity 60%-90%."
2012-08-09 11:00:00,29,34.0,55,85,"High temperature, with scattered showers in the afternoon in some areas; temperature 29-34°C, with the highest temperature above 35°C in the northern and densely populated areas; southwest wind of grade 2, gusts of grade 3; relative humidity 55%-85%."
2012-08-09 16:00:00,28,33.0,60,90,"Cloudy, hot weather, with showers or thunderstorms in the afternoon, with local heavy rain; temperature 28-33°C; southwest wind of grade 2-3; relative humidity 60%-90%."
2012-08-10 06:00:00,28,33.0,55,90,"It is cloudy, the weather is hot and there are showers or thunderstorms in the afternoon; the temperature is 28-33°C; the southwestern wind is level 2-3; the relative humidity is 55%-90%."
2012-08-10 11:00:00,28,33.0,55,90,"Cloudy, hot weather with scattered showers or thunderstorms, and heavier rain in some local areas; temperature 28-33°C; southwesterly wind 2-3; relative humidity 55%-90%."
2012-08-10 16:00:00,27,32.0,65,90,"Cloudy, with scattered showers or thunderstorms, and locally heavy rain; temperature 27-32°C; southwest wind grade 2-3; relative humidity 65%-90%."
2012-08-11 06:00:00,27,32.0,70,90,"Cloudy, with showers or thunderstorms and local heavy rain; temperature 27-32°C; southwesterly wind level 2-3; relative humidity 70%-90%."
2012-08-11 11:00:00,28,32.0,70,90,"Cloudy, with showers or thunderstorms, and local heavy rain; temperature 28-32°C; southwesterly wind 2-3; relative humidity 70%-90%."
2012-08-11 16:00:00,26,31.0,70,90,"Overcast with intervals of cloudy, with moderate thunderstorms and local torrential rain; temperature 26-31°C; southwesterly wind of 2-3 levels; relative humidity 70%-90%."
2012-08-12 06:00:00,24,30.0,75,98,"Overcast, with moderate thunderstorm and local heavy rain; temperature 24-30°C; southwest wind of 2-3 levels; relative humidity 75%-98%."
2012-08-12 11:00:00,26,31.0,65,90,Overcast to partly cloudy with thunderstorms and local heavy rain to torrential rain; temperature 26-31°C; southwesterly wind of magnitude 2 to 3; relative humidity 65%-90%.
2012-08-12 16:00:00,26,31.0,65,90,"Cloudy to partly cloudy with occasional thunderstorms, local heavy rain; temperature 26-31°C; southwestern wind level 2-3; relative humidity 65%-90%."
2012-08-13 06:00:00,26,32.0,65,95,"Overcast with intervals of cloudy weather, with thunderstorms and local heavy rain; temperature 26-32°C; southwest wind of grade 2-3; relative humidity 65%-95%."
2012-08-13 11:00:00,26,31.0,65,95,Showers or thunderstorms; temperature 26-31°C; southwest wind 2-3 levels; relative humidity 65%-95%.
2012-08-13 16:00:00,26,32.0,60,90,It is cloudy with scattered showers; temperature 26-32°C; south wind of 2-3 levels; relative humidity 60%-90%.
2012-08-14 06:00:00,26,32.0,60,90,Cloudy with showers; temperature 26-32°C; southerly wind 2-3 levels; relative humidity 60%-90%.
2012-08-14 11:00:00,29,33.0,60,85,Cloudy with short-term showers; temperature 29-33°C; southeasterly wind of grade 2-3; relative humidity 60%-85%.
2012-08-14 16:00:00,27,34.0,60,85,"It is cloudy to partly sunny, the weather is extremely hot; the temperature is 27-34°C, and it can reach 35°C in the central, northern and densely populated areas; the southeast wind is at level 2; the relative humidity is 55%-85%."
2012-08-15 06:00:00,26,34.0,60,90,"It is sunny with intervals of cloudy, the weather is extremely hot; the temperature is 26-34°C, and it can reach 35°C in the central, northern and densely populated areas; the east wind is at level 2; the relative humidity is 60%-90%."
2012-08-15 11:00:00,26,34.0,55,85,"Sunny intervals and cloudy; temperature 26-34°C, with a maximum of 35 degrees or above in the central, northern and densely populated areas; northeasterly wind level 2; relative humidity 55%-85%."
2012-08-15 16:00:00,26,33.0,55,95,"Cloudy, and it will turn to thunderstorm in the afternoon; temperature is 26-33℃; northeasterly wind of Level 2, and it will increase to Level 5-6 around dusk; relative humidity is 55%-95%."
2012-08-16 06:00:00,25,31.0,60,99,"Cloudy, with sunlight for a short time, with showers or thunderstorms, and the rain becomes more frequent in the afternoon; temperature 25-31°C; northeasterly wind level 2, and the wind force increases to 5-6 levels around dusk; relative humidity 60%-99%."
2012-08-16 11:00:00,25,32.0,60,99,"Cloudy with intervals of overcast, with short-term thunderstorms in the afternoon; the wind significantly increases around dusk, the land wind increases to level 5, with gusts of 7-8 levels, the average wind on the coast and highlands is level 7, with gusts of 9-10 levels; temperature 25-32°C; relative humidity 60%-99%."
2012-08-16 16:00:00,25,29.0,65,99,"Overcast to partly cloudy, with heavy rain; temperature 25-29°C; the land has a predominant east wind of 6 levels, with gusts of 8 levels, and the average wind along the coast and highlands is 7-8 levels, with gusts of 10-11 levels; relative humidity 65%-99%."
2012-08-17 06:00:00,27,31.0,65,95,"In the morning, it is cloudy with scattered showers, and the rainfall becomes frequent in the afternoon; the temperature is 27-31°C; the southeast wind is 3-4 levels with gusts of 8 levels; the relative humidity is 65%-95%."
2012-08-17 11:00:00,26,31.0,70,90,"Cloudy, and the rainfall gradually becomes more frequent in the afternoon, with relatively heavy rain at some times; temperature 26-31°C; southeastern wind of 3-4 levels, gusts of 6 levels; relative humidity 70%-90%."
2012-08-17 16:00:00,26,32.0,65,90,"At night, there is frequent rain and during the day it turns cloudy with short-term showers; temperature 26-32°C; south wind level 2-3; relative humidity 65%-90%."
2012-08-18 06:00:00,27,32.0,65,90,"Cloudy, with visible sunlight and short-term showers; temperature 27-32°C; southerly wind of 2-3 levels; relative humidity 65%-90%."
2012-08-18 11:00:00,28,32.0,70,95,"Cloudy, with scattered showers in some local areas; temperature 28-32°C; northeasterly wind level 2-3; relative humidity 70%-95%."
2012-08-18 16:00:00,27,33.0,65,95,Cloudy with showers or thunderstorms; temperature 27-33°C; northeasterly wind level 2-3; relative humidity 65%-95%.
2012-08-19 06:00:00,27,33.0,65,98," Cloudy, with local short-term showers or thundershowers in the afternoon; temperature 27-33°C; southerly wind 2-3 levels; relative humidity 65%-98%."
2012-08-19 11:00:00,29,33.0,60,80,"Cloudy with sunny intervals, with local short-term showers or thunderstorms in the afternoon; temperature 29-33°C; southerly wind of 2-3 levels; relative humidity 60%-80%."
2012-08-19 16:00:00,29,33.0,60,80,"Cloudy and partly sunny, hot weather, with scattered showers or thunderstorms locally; temperature 27-33°C; southerly wind of grade 2-3; relative humidity 60%-90%."
2012-08-20 06:00:00,26,33.0,60,90,"Cloudy and partly sunny, hot weather, with scattered showers or thunderstorms in the afternoon; temperature 26-33°C; south wind level 2-3; relative humidity 60%-90%."
2012-08-20 11:00:00,29,33.0,60,80,"Cloudy intervals with sunny spells, hot weather, local thunderstorms in the afternoon; temperature 29-33°C; southerly wind of magnitude 2-3; relative humidity 60%-80%."
2012-08-20 16:00:00,27,34.0,55,95,"At night, it is mainly cloudy. During the day, it is cloudy to sunny. The weather is hot to very hot. There are local thunderstorms in the afternoon; temperature is 27-34 °C; blows a slight southerly wind; relative humidity is 55%-95%."
2012-08-21 06:00:00,27,34.0,55,95,"Partly cloudy to sunny intervals, hot to extremely hot weather, with local thunderstorms in the afternoon; temperature 27-34°C; slight southerly wind; relative humidity 55%-95%."
2012-08-21 11:00:00,29,33.0,55,85,"Cloudy, with scattered showers or thunderstorms in the afternoon; temperature 29-33°C; southerly wind of grade 2-3; relative humidity 55%-85%."
2012-08-21 16:00:00,27,33.0,65,95,"Cloudy, with showers or thunderstorms, and local areas with heavier rain; temperature 27-33°C; light winds; relative humidity 65%-95%."
2012-08-22 06:00:00,27,33.0,60,90,"Cloudy, hot weather with short-term showers or thunderstorms at times; temperature 27-33°C; weak wind; relative humidity 60%-90%."
2012-08-22 11:00:00,27,31.0,65,98,"It is cloudy to partly cloudy with intermittent showers or thunderstorms, and the local rain is relatively heavy; the temperature is 27-31°C; the wind is weak; the relative humidity is 65%-98%."
2012-08-22 16:00:00,26,32.0,60,90,"Cloudy, with short-term showers or thunderstorms sometimes; temperature 26-32°C; weak northwest wind; relative humidity 60%-90%."
2012-08-23 06:00:00,26,33.0,60,90,"Sunny intervals and cloudy, with light fog in the morning, and local short-term showers or thunderstorms occasionally; temperature 26-33°C; northwest wind level 1-2; relative humidity 60%-90%."
2012-08-23 11:00:00,28,33.0,55,85,"Sunny intervals, with scattered showers in the afternoon in some areas, low visibility in the morning with light fog or haze, and visibility improves during the day; temperature 28-33°C; northwest wind 1-2 grades; relative humidity 55%-85%."
2012-08-23 16:00:00,26,34.0,55,95,"Cloudy and sunny intervals, with occasional showers locally; temperature 26-34°C, the highest temperature in the central, northern and densely populated areas can reach 35°C; with mild haze; northerly wind of 1-2 levels; relative humidity 55%-95%."
2012-08-24 06:00:00,26,34.0,55,85,"Mostly cloudy to partly sunny, with occasional showers locally; temperature 26-34°C, up to 35°C in the central, northern and densely populated areas; weak northerly wind; relative humidity 55%-85%."
2012-08-24 11:00:00,29,34.0,55,85,"Cloudy, extremely hot weather with occasional showers in some areas; temperature 27-34°C, and the highest temperature in the central and northern regions and densely populated areas can reach 35-36°C; northerly wind of magnitude 2; relative humidity 55%-85%."
2012-08-24 16:00:00,27,34.0,55,85,"Cloudy, extremely hot to sweltering weather, with scattered showers or thunderstorms in some areas, and mild to light haze; temperature 27-34°C, the highest temperature in central-north and densely populated areas can reach 35°C; northerly wind level 2; relative humidity 55%-85%."
2012-08-25 06:00:00,27,34.0,50,75,"It is cloudy, very hot to extremely hot, with local showers or thunderstorms in the afternoon; the temperature is 27-34°C, and the maximum temperature in the central and northern regions and densely populated areas can reach 35°C; there is a northerly wind of 2-3 levels, with gusts of 4 levels, and the wind force gradually increases along the eastern coastal areas during the day, with an average of 4-5 levels and gusts of 6-7 levels; the relative humidity is 50%-75%."
2012-08-25 11:00:00,29,34.0,50,80,"It's cloudy, and it's hot to extremely hot with local short-term showers or thunderstorms in the afternoon; the temperature is 27-34°C, and the maximum temperature in the central and northern areas and densely populated areas can reach 35°C; the northerly wind is 2-3 levels, and the wind gradually increases along the eastern coast around evening, with an average of 5-6 levels and gusts of 8 levels; the relative humidity is 50%-80%."
2012-08-25 16:00:00,27,34.0,55,85,"There will be scattered showers or thunderstorms at night and turn cloudy during the day, with hot to extremely hot weather; temperature ranging from 27 to 34°C, and the highest temperature in the central and northern regions and densely populated areas can reach 35°C; northerly wind of 2 to 3 levels, with an average wind of 5 to 6 levels along the coast and gusts of 8 levels; relative humidity of 55% to 85%."
2012-08-26 06:00:00,27,34.0,55,85,"Cloudy, with short-term showers in some areas, hot to extremely hot weather; temperature 27-34°C, the highest temperature in the central and northern regions and densely populated areas can reach 35°C; northerly wind 2-3 levels, average wind along the coast 4-5 levels, gusts up to 7 levels; relative humidity 50%-85%."
2012-08-26 11:00:00,30,33.0,55,70,"Cloudy, hot in the afternoon; temperature 30-33°C; northerly wind of 2-3 levels, average wind of 4-5 levels along the coast, gust of 7 levels; relative humidity 55%-70%."
2012-08-26 16:00:00,27,33.0,50,80,"Cloudy, extremely hot to very hot weather; temperature 27-33°C, and the highest temperature in the central-northern and densely populated areas can reach 34-35°C; northerly wind of grade 2-3, and the average wind along the coast is 4-5 grades with gusts of 6-7 grades; relative humidity of 50%-80%."
2012-08-27 06:00:00,28,33.0,50,70,"Cloudy, hot weather; temperature 28-33°C, the maximum temperature in the central and northern parts and densely populated areas can reach 34-35°C; northerly wind of level 2; relative humidity 50%-70%."
2012-08-27 11:00:00,30,34.0,50,75,"Sunny intervals and mostly cloudy; temperature 30-34°C, with a maximum temperature of 35°C in the central and northern regions and densely populated areas; northerly wind of 2 levels; relative humidity 50%-75%."
2012-08-27 16:00:00,28,34.0,45,75,"Sunny intervals and cloudy, extremely hot weather, with local showers in the afternoon; temperature 28-34°C, with a maximum temperature of 35°C in the central and northern areas and densely populated areas; northwest wind of magnitude 2; relative humidity 45%-75%."
2012-08-28 06:00:00,28,34.0,45,80,"Sunny intervals and cloudy, extremely hot weather; temperature 28-34°C, the highest temperature in the central and northern regions and densely populated areas can reach 35-36°C; northwest wind level 2; relative humidity 45%-80%."
2012-08-28 11:00:00,30,34.0,45,80,"Sunny intervals with cloudy periods, with local short-term showers at times, with slight to mild haze, extremely hot weather; temperature 30-34°C, with a maximum of 35-36°C in the central and northern areas and densely populated areas; northwesterly wind of grade 2; relative humidity 45%-80%."
2012-08-28 16:00:00,28,33.0,55,90,"Cloudy, extremely hot to very hot with thunderstorms; temperature 28-33°C, up to 34-35°C in central and northern areas and densely populated areas; westerly wind of grade 2; relative humidity 55%-90%."
2012-08-29 06:00:00,26,33.0,55,90,"Cloudy to partly sunny, with hot to extremely hot weather, and afternoon showers or thunderstorms; temperature 26-33°C, and up to 34-35°C in central-northern and densely populated areas; west to southwest wind, level 2; relative humidity 55%-90%."
2012-08-29 11:00:00,28,32.0,55,85,"It's cloudy, and there are showers or thunderstorms in the afternoon; the temperature is 28-32°C; there is a slight westerly wind; the relative humidity is 55%-85%."
2012-08-29 16:00:00,26,32.0,60,95,"Cloudy, with showers or thunderstorms, muggy during the day; temperature 26-32°C; weak westerly wind blowing; relative humidity 60%-95%."
2012-08-30 06:00:00,28,32.0,65,90,"It is cloudy, with locally short-term showers or thunderstorms occasionally, the weather is sultry; the temperature is 28-32°C; the southwest wind is 2-3 levels; the relative humidity is 65%-90%."
2012-08-30 11:00:00,27,32.0,65,90,Cloudy with scattered showers or thunderstorms; temperature 27-32°C; southwest wind 2-3; relative humidity 65%-90%.
2012-08-30 16:00:00,26,32.0,60,95,"It's cloudy with scattered showers or thunderstorms, and the rain is relatively heavy at times; the temperature is 26-32°C; the southwest wind is 2 to 3 grades; the relative humidity is 60% to 95%."
